ID,URL,Name,Price,Category,Sizes,Colors,Availability,Description,Images,Features,Sense of Fitting Rating,,Material Quality Rating,Comfort Rating,Average Rating,Review Count
IA4845,https://shop.adidas.jp/products/IA4845,アディカラー クラシックス スリーストライプス Tシャツ,4400 JPY,ウェア・服,"J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL,J/5XL","Black,ホワイト,ブルー,グリーン,ブルー,グリーン,イエロー",In Stock,"新たなお気に入りになりそうな、着心地の良いコットンTシャツ。スリムフィットな作りにコントラストカラーの裾をあしらった、洗練されたビンテージ感漂うデザインが特徴。お気に入りのダークデニムと合わせれば、クラシックコーデもお手の物。素材には、快適な着心地を生むとびきりソフトなコットンを採用している。

サステナブルな綿花栽培をサポートしている、アディダスのコットン製品。","https://assets.adidas.com/images/w_600,f_auto,q_auto/bf9d73fb98c34984a08caf150099dfe0_9366/T_IA4845_01_laydown.jpg","半袖,スリムフィット,コットン,リブ編みのクルーネック,コットン100%（シングルジャージー）,リブ仕上げのカフ,ベターコットンを使用",N/A,N/A,N/A,N/A,N/A,N/A
KB5435,https://shop.adidas.jp/products/KB5435,襟付きゴーリートップ,7370 JPY,ウェア・服,"J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL,J/5XL","Cream White,ブラック,ブルー,ピンク,ブラック",In Stock,この襟付きTシャツは、80年代のゴールキーパージャージーからインスピレーションを得てデザインされたもの。肌触りの良い滑らかな生地で仕立てたこのシャツは、一日中快適な着心地が続くカジュアルな一着。総柄のストライプの生地で、袖にスリーストライプスを配し、胸にアディダスのブランディングをあしらいクラシックな雰囲気に仕上げている。,"https://assets.adidas.com/images/w_600,f_auto,q_auto/c59fa20cd36c43ea8439218ff655bb41_9366/KB5435_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/831c5f6c75764c7fa81bdc8254bf3130_9366/KB5435_23_hover_model.jpg","半袖,オーバーサイズ,その他,ルーズフィット,リブ仕上げの襟の間に三角形のリブガセット,ポリエステル100%",N/A,N/A,N/A,N/A,N/A,N/A
IA4846,https://shop.adidas.jp/products/IA4846,アディカラー クラシックス スリーストライプス Tシャツ,4400 JPY,ウェア・服,"J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL,J/5XL","White,ブラック,ブルー,グリーン,ブルー,グリーン,イエロー",In Stock,"新たなお気に入りになりそうな、着心地の良いコットンTシャツ。スリムフィットな作りにコントラストカラーの裾をあしらった、洗練されたビンテージ感漂うデザインが特徴。お気に入りのダークデニムと合わせれば、クラシックコーデもお手の物。素材には、快適な着心地を生むとびきりソフトなコットンを採用している。

サステナブルな綿花栽培をサポートしている、アディダスのコットン製品。","https://assets.adidas.com/images/w_600,f_auto,q_auto/970d213c54764c0f9a2daf150099f6a7_9366/T_IA4846_01_laydown.jpg","半袖,スリムフィット,その他,リブ編みのクルーネック,コットン100%（シングルジャージー）,リブ仕上げのカフ,ベターコットンを使用",N/A,N/A,N/A,N/A,N/A,N/A
JM1161,https://shop.adidas.jp/products/JM1161,テニス プロ クライマクール+ フリーリフト 半袖Tシャツ,11550 JPY,ウェア・服,"J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL","White,グリーン,パープル",In Stock,"自分らしいスタイルでテニスコートに立とう。世界最高峰の芝コート大会をイメージしてデザインされたこのTシャツは、adidasのヘリテージ感とモダンなパフォーマンス性能を兼ね備えている。清涼感のある着心地が特徴のクライマクール+を採用。スリムフィットがすばやい動きをサポートし、フリーリフトデザインがオーバーヘッドショットの可動域を確保する。

クライマクール+が汗をすばやく吸収・発散し、汗をコントロール。速乾性に優れた繊維が、肌をさらっと快適に保つ。身体の動きに合わせたスウェットマネジメントで、効率的にクールダウンをサポート。優れた設計と先進素材が、ドライで快適なコンディションを保ち、パフォーマンスを発揮することだけに集中させてくれる。","https://assets.adidas.com/images/w_600,f_auto,q_auto/fa6fca9f465a4c34a4a2162f10f9ef06_9366/T_JM1161_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/d2af6db514354ff69a8a0e075b55497b_9366/T_JM1161_23_hover_model.jpg","半袖,スリムフィット,その他,クルーネック,ポリエステル100%,クライマクール+,フリーリフトデザイン",N/A,N/A,N/A,N/A,N/A,N/A
JM0514,https://shop.adidas.jp/products/JM0514,ウィンター シュータートップ,11000 JPY,ウェア・服,"XL/XXL,J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL","Ivory / Black / Preloved Red,ベージュ",In Stock,"このバスケットボール トップ姿で、コートの上でも外でも磨き上げたスキルを見せつけよう。ウーブンファブリックを使用し、動きやすいルーズフィットに仕立てたウェア。スリーストライプスと大胆なグラフィックが、スポーティーな印象を与える。 

様々なサイズ、ジェンダー、体型を考慮して、すべての人に合うように構築したシステム、UNITEFITを採用してデザインされている。","https://assets.adidas.com/images/w_600,f_auto,q_auto/93f6707db03b46ec995d3fd46068b72c_9366/JM0514_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/348454c892424b7d830ce6fb5d57daa0_9366/JM0514_23_hover_model.jpg","ルーズフィット,その他,ポリエステル93% / ポリウレタン7%",N/A,N/A,N/A,N/A,N/A,N/A
JD9829,https://shop.adidas.jp/products/JD9829,Y-3 REGULAR SHORT SLEEVE TEE,16500 JPY,ウェア・服,"XS,S,M,L,XL,2XL","Core White,ブラック,イエロー,パープル",In Stock,毎日の必需品にも、Y-3はディテールにこだわる。ソフトなコットンシングルジャージーを使った、クルーネックのクラシックな「Y-3 REGULAR SHORT SLEEVE TEE」にも、随所にそのこだわりが見てとれる。艶やかなY-3ロゴがアクセント。,"https://assets.adidas.com/images/w_600,f_auto,q_auto/ca3729501a6542f3842b52762f06d306_9366/Y-3_REGULAR_SHORT_SLEEVE_TEE_JD9829_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/ae080cfcffcb4bb6a482642dc946b5a0_9366/Y-3_REGULAR_SHORT_SLEEVE_TEE_JD9829_23_hover_model.jpg","半袖,レギュラーフィット,コットン,リブ仕上げのクルーネック,綿100%,艶やかなY-3ロゴを熱転写,素材は、ベターコットンを通して、マスバランスと呼ばれるシステム経由で調達しているため、この製品にベターコットンが使用されていない可能性もあります。",N/A,N/A,N/A,N/A,N/A,N/A
JY4847,https://shop.adidas.jp/products/JY4847,テニス プロ クライマクール+ フリーリフト 半袖Tシャツ,11550 JPY,ウェア・服,"J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL","Aurora Plum,ホワイト,グリーン",In Stock,"自分らしいスタイルでテニスコートに立とう。世界最高峰の芝コート大会をイメージしてデザインされたこのTシャツは、adidasのヘリテージ感とモダンなパフォーマンス性能を兼ね備えている。清涼感のある着心地が特徴のクライマクール+を採用。スリムフィットがすばやい動きをサポートし、フリーリフトデザインがオーバーヘッドショットの可動域を確保する。

クライマクール+が汗をすばやく吸収・発散し、汗をコントロール。速乾性に優れた繊維が、肌をさらっと快適に保つ。身体の動きに合わせたスウェットマネジメントで、効率的にクールダウンをサポート。優れた設計と先進素材が、ドライで快適なコンディションを保ち、パフォーマンスを発揮することだけに集中させてくれる。","https://assets.adidas.com/images/w_600,f_auto,q_auto/3c2c576bb50348618340d0db6bc4c171_9366/T_JY4847_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/f5b9b97b81774c7a9cf16f7406695381_9366/T_JY4847_23_hover_model.jpg","半袖,スリムフィット,その他,クルーネック,ポリエステル100%,クライマクール+,フリーリフトデザイン",N/A,N/A,N/A,N/A,N/A,N/A
KA8985,https://shop.adidas.jp/products/KA8985,エルマノス コウモリランニング 半袖Tシャツ（ジェンダーニュートラル）/ H.Koumori Running Tee (Gender Neutral),7700 JPY,ウェア・服,"J/3XS,J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL",Black,In Stock,ランニングは、世界中の都市やトレイルに足跡を残す芸術。メキシコ発のブランドHermanos Koumoriとのコラボレーションから登場したadidas Running半袖Tシャツは、快適な散策を後押しする。コットン生地は肌触りがソフトで快適。キークリップ付きの内側のバックポケットで、ちょっとした貴重品を身に着けておける。さまざまな体型や性別にフィットする、ユニセックス対応のUNITEFITシステムを採用してデザインされている。,"https://assets.adidas.com/images/w_600,f_auto,q_auto/c2b354a2b5164a0caa1b8346aaa743ad_9366/T-_H.Koumori_Running_Tee_Gender_Neutral_KA8985_HM1.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/48e7a85723c44513aec932fac39c2918_9366/T-_H.Koumori_Running_Tee_Gender_Neutral_KA8985_HM3_hover.jpg","半袖,ルーズフィット,コットン,ハイネック,綿100%,右後ろにバックポケット",N/A,N/A,N/A,N/A,N/A,N/A
JX8977,https://shop.adidas.jp/products/JX8977,半袖テリーTシャツ,6270 JPY,ウェア・服,"J/2XS,J/XS,J/S,J/M,J/L,J/XL,J/2XL,J/3XL,J/4XL,J/5XL","Black / Gold Metallic,ホワイト,グリーン,ブラック",In Stock,このアディダス半袖Tシャツに袖を通すだけで、違いがわかる。素材は、家でくつろぐときや、気ままに過ごしたいときにぴったりの、コットンとポリエステル混紡のソフトで滑らかな肌触りのフレンチテリー。ブランドのアイデンティティを示すロゴは控えめにしたデザインだから、オールラウンドに使える。,"https://assets.adidas.com/images/w_600,f_auto,q_auto/565e0f98c0d34c3584f4fbad3c8c1cec_9366/T_JX8977_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/5908a2f539e649799023339a652b316f_9366/T_JX8977_23_hover_model.jpg","半袖,オーバーサイズ,コットン,ルーズフィット,リブ仕上げのクルーネック,綿80% / ポリエステル20%",N/A,N/A,N/A,N/A,N/A,N/A
IW0066,https://shop.adidas.jp/products/IW0066,Y-3 REGULAR SHORT SLEEVE TEE,16500 JPY,ウェア・服,"XS,S,M,L,XL,2XL","Black,ホワイト,イエロー,パープル",In Stock,毎日の必需品にも、Y-3はディテールにこだわる。ソフトなコットンシングルジャージーを使った、クルーネックのクラシックな「Y-3 REGULAR SHORT SLEEVE TEE」にも、随所にそのこだわりが見てとれる。艶やかなY-3ロゴがアクセント。,"https://assets.adidas.com/images/w_600,f_auto,q_auto/8e6ce1bb6be745efaf35be88f6fb0534_9366/Y-3_REGULAR_SHORT_SLEEVE_TEE_IW0066_000_plp_model.jpg,https://assets.adidas.com/images/w_600,f_auto,q_auto/551af0d8ae2d4be4ad9f9ea58b7966ba_9366/Y-3_REGULAR_SHORT_SLEEVE_TEE_IW0066_23_hover_model.jpg","半袖,レギュラーフィット,コットン,リブ仕上げのクルーネック,綿100%,艶やかなY-3ロゴを熱転写,素材は、ベターコットンを通して、マスバランスと呼ばれるシステム経由で調達しているため、この製品にベターコットンが使用されていない可能性もあります。",N/A,N/A,N/A,N/A,N/A,N/A
